Source,Target
Robert Lehman Collection,Robert Lehman Collection
"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund",Drawings and Prints
"Gift of Alice C. Taft, Hope Smith, Marianna F. Taft, Helen Head, and Brockholst M. Smith",Drawings and Prints
"The Cesnola Collection, Purchased by subscription",Greek and Roman Art
The Crosby Brown Collection of Musical Instruments,Musical Instruments
Walker Evans Archive,Photographs
Gift of Estate of Samuel Isham,Asian Art
Gift of Dr. and Mrs. Roger Gerry,European Sculpture and Decorative Arts
Harris Brisbane Dick Fund,Drawings and Prints
"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund",Drawings and Prints
"Purchase, Ehsan Yarshater Gift and Rogers Fund",Ancient Near Eastern Art
"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund",Drawings and Prints
"Purchase, Jacob H. Schiff Bequest",Drawings and Prints
"The Elisha Whittelsey Collection, The Elisha Whittesley Fund",Drawings and Prints
"Gift of Dietrich von Bothmer, Distinguished Research Curator, Greek and Roman Art",Greek and Roman Art
Gift of El Conde de Lagunillas,Greek and Roman Art
"Gift of Dietrich von Bothmer, Distinguished Research Curator, Greek and Roman Art",Greek and Roman Art
Gift of Muriel Kallis Newman,Costume Institute
"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",Drawings and Prints
Rogers Fund,Islamic Art
"Anonymous Gift, in memory of Robert Livingston Clarkson",European Sculpture and Decorative Arts
Gift of Larry Aldrich,Drawings and Prints
Gift of Dr. Ernest Harms,Medieval Art
"Gift of Weston J. Naef, in memory of Kathleen W. Naef and Weston J. Naef Sr.",Photographs
"Gift of Jean Jacques Reubell, in memory of his mother, Julia C. Coster, and of his wife, Adeline E. Post, both of New York City",Arms and Armor
Gift of Randolph Gunter,Drawings and Prints
"Dr. and Mrs. Roger G. Gerry Collection, Bequest of Dr. and Mrs. Roger G. Gerry",Asian Art
"Brooklyn Museum Costume Collection at The Metropolitan Museum of Art, Gift of the Brooklyn Museum",Costume Institute
Gift of Carol Roaman,Costume Institute
Gift of Ralph Weiler,Drawings and Prints
"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",Drawings and Prints
Joyce F. Menschel Photography Library Fund,Photographs
Rogers Fund,Egyptian Art
"Gift of Clarence H. Mackay, Archer M. Huntington, Stephen H. P. Pell and Bashford Dean",Medieval Art
Gift of Charles E. Wiggin,Drawings and Prints
Gift of George Zacos,Ancient Near Eastern Art
Gift of Martin F. Price,Costume Institute
Gift of Helen Miller Gould,Egyptian Art
Bequest of George White Thorne,European Sculpture and Decorative Arts
Rogers Fund,Islamic Art
"The Edward W. C. Arnold Collection of New York Prints, Maps and Pictures, Bequest of Edward W. C. Arnold",Drawings and Prints
"The Cesnola Collection, Purchased by subscription",Greek and Roman Art
Gift of Henry G. Schiff,The American Wing
John Stewart Kennedy Fund,Asian Art
Gift of William Brewster,Drawings and Prints
"Gilman Collection, Gift of The Howard Gilman Foundation",Photographs
Rogers Fund,Egyptian Art
"Purchase, Edward C. Moore Jr. Gift",Modern and Contemporary Art
Isabel Shults Fund,Costume Institute
"Purchase, Irene Lewisohn Trust Gift",Costume Institute
Rogers Fund and Edward S. Harkness Gift,Egyptian Art
"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",Drawings and Prints
Gift of Peter J. Cohen,Photographs
Purchase,Ancient Near Eastern Art
Bequest of Edwin De T. Bechtel,Drawings and Prints
Harris Brisbane Dick Fund,Drawings and Prints
Rogers Fund,Egyptian Art
Gift of The United Piece Dye Works,European Sculpture and Decorative Arts
"Purchase, Reba and Dave Williams Gift",Modern and Contemporary Art
Harris Brisbane Dick Fund,Drawings and Prints
"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund",Drawings and Prints
"Edward C. Moore Collection, Bequest of Edward C. Moore",Arms and Armor
Walker Evans Archive,Photographs
Harris Brisbane Dick Fund,Drawings and Prints
Purchase by subscription,European Sculpture and Decorative Arts
"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",Drawings and Prints
Rogers Fund,Drawings and Prints
"Samuel Eilenberg Collection, Bequest of Samuel Eilenberg",Asian Art
Gift of Joell K. Kunath,Costume Institute
Harris Brisbane Dick Fund,Drawings and Prints
Gift of William Brewster,Drawings and Prints
Gift of William Brewster,Drawings and Prints
"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",Drawings and Prints
"Glenn Tilley Morse Collection, Bequest of Glenn Tilley Morse",Drawings and Prints
Walker Evans Archive,Photographs
Harris Brisbane Dick Fund,Drawings and Prints
Fletcher Fund,Greek and Roman Art
"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund",Drawings and Prints
"Gift of Hayashi Kaoru, in celebration of the Museum’s 150th Anniversary",Asian Art
"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",Drawings and Prints
"The Howard Mansfield Collection, Gift of Howard Mansfield",Arms and Armor
"Gift of Ella Brummer, in memory of her husband, Ernest Brummer",Medieval Art
"Gilman Collection, Purchase, The Horace W. Goldsmith Foundation Gift, through Joyce and Robert Menschel",Photographs
Gift of J. Pierpont Morgan,Medieval Art
Gift of Anne H. Bass,Costume Institute
Gift of Miss H. C. Wagner,Asian Art
Bequest of George C. Stone,Arms and Armor
Gift of Jean Charlot,Drawings and Prints
Bequest of Scofield Thayer,Modern and Contemporary Art
Harris Brisbane Dick Fund,Drawings and Prints
"Gift of Miss Grace Duncan Hooper, in memory of her mother, Mrs. Robert H. MacNall",Costume Institute
Bequest of Alphonso T. Clearwater,The American Wing
"Purchase, Robert Mapplethorpe Foundation and Alfred Stieglitz Society Gifts",Photographs
Gift of Cornelius Vanderbilt,Drawings and Prints
"Bashford Dean Memorial Collection, Bequest of Bashford Dean",Arms and Armor
Frederick C. Hewitt Fund,Asian Art
"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund",Drawings and Prints
"Gift of Dietrich von Bothmer, Distinguished Research Curator, Greek and Roman Art",Greek and Roman Art
Rogers Fund,Egyptian Art
Rogers Fund,Asian Art
Rogers Fund,Egyptian Art
Robert Lehman Collection,Robert Lehman Collection
"Glenn Tilley Morse Collection, Bequest of Glenn Tilley Morse",Drawings and Prints
"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",Drawings and Prints
Gift of Theodore M. Davis,Egyptian Art
"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",Drawings and Prints
Gift of Mr. and Mrs. WIlliam B. Liebman,Drawings and Prints
Gift of Mrs. Clyfford Still,Modern and Contemporary Art
"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund",Drawings and Prints
Bequest of Joseph H. Durkee,Ancient Near Eastern Art
