Source,Target,Start,start,end
Robert Lehman Collection,461481,1975,1975,1975
Drawings and Prints,346573,1969,1969,1969
Drawings and Prints,815012,1945,1945,1945
Greek and Roman Art,241762,1874,1874,1874
Musical Instruments,504753,1889,1889,1889
Photographs,275321,1994,1994,1994
Asian Art,55014,1915,1915,1915
European Sculpture and Decorative Arts,206892,1981,1981,1981
Drawings and Prints,896139,1925,1925,1925
Drawings and Prints,623112,1955,1955,1955
Ancient Near Eastern Art,327528,1997,1997,1997
Drawings and Prints,401435,1951,1951,1951
Drawings and Prints,385597,1922,1922,1922
Drawings and Prints,384147,1949,1949,1949
Greek and Roman Art,668539,2011,2011,2011
Greek and Roman Art,254645,1949,1949,1949
Greek and Roman Art,772545,2011,2011,2011
Costume Institute,141764,2008,2008,2008
Drawings and Prints,684544,1963,1963,1963
Islamic Art,449009,1934,1934,1934
European Sculpture and Decorative Arts,206552,1976,1976,1976
Drawings and Prints,681548,1985,1985,1985
Medieval Art,468450,1953,1953,1953
Photographs,288287,1982,1982,1982
Arms and Armor,32584,1926,1926,1926
Drawings and Prints,667972,1958,1958,1958
Asian Art,49415,2002,2002,2002
Costume Institute,175288,2009,2009,2009
Drawings and Prints,813020,1960,1960,1960
Drawings and Prints,890709,1963,1963,1963
Photographs,658343,2014,2014,2014
Egyptian Art,550811,1931,1931,1931
Medieval Art,695183,1928,1928,1928
Drawings and Prints,776063,1968,1968,1968
Ancient Near Eastern Art,325957,1969,1969,1969
Costume Institute,142151,2017,2017,2017
Egyptian Art,567832,1910,1910,1910
European Sculpture and Decorative Arts,186251,1883,1883,1883
Islamic Art,741152,1948,1948,1948
Drawings and Prints,380728,1954,1954,1954
Greek and Roman Art,240609,1874,1874,1874
The American Wing,9957,1980,1980,1980
Asian Art,61052,1913,1913,1913
Drawings and Prints,378302,1923,1923,1923
Photographs,709110,2005,2005,2005
Egyptian Art,555460,1909,1909,1909
Modern and Contemporary Art,489819,1969,1969,1969
Costume Institute,94862,1981,1981,1981
Costume Institute,90464,1984,1984,1984
Egyptian Art,561966,1920,1920,1920
Drawings and Prints,771860,1963,1963,1963
Photographs,775057,2018,2018,2018
Ancient Near Eastern Art,321781,1886,1886,1886
Drawings and Prints,757195,1957,1957,1957
Drawings and Prints,708437,nan,nan,nan
Drawings and Prints,708484,1917,1917,1917
Egyptian Art,551252,1912,1912,1912
European Sculpture and Decorative Arts,224095,1936,1936,1936
Modern and Contemporary Art,491281,1999,1999,1999
Drawings and Prints,369066,1925,1925,1925
Drawings and Prints,363686,1953,1953,1953
Arms and Armor,25003,1891,1891,1891
Photographs,289811,1994,1994,1994
Drawings and Prints,345609,1917,1917,1917
European Sculpture and Decorative Arts,218401,1909,1909,1909
Drawings and Prints,629971,1963,1963,1963
Drawings and Prints,898690,1921,1921,1921
Asian Art,53030,2001,2001,2001
Costume Institute,80212,1995,1995,1995
Drawings and Prints,431179,1933,1933,1933
Drawings and Prints,379471,1923,1923,1923
Drawings and Prints,379620,1923,1923,1923
Drawings and Prints,712303,1963,1963,1963
Drawings and Prints,653168,1950,1950,1950
Photographs,275666,1994,1994,1994
Drawings and Prints,626032,1947,1947,1947
Greek and Roman Art,251843,1925,1925,1925
Drawings and Prints,648859,1955,1955,1955
Asian Art,839574,2020,2020,2020
Drawings and Prints,722893,1963,1963,1963
Arms and Armor,30036,1936,1936,1936
Medieval Art,466094,1982,1982,1982
Photographs,286011,2005,2005,2005
Medieval Art,465654,1917,1917,1917
Costume Institute,90059,1989,1989,1989
Asian Art,64002,1959,1959,1959
Arms and Armor,24529,1936,1936,1936
Drawings and Prints,715417,1929,1929,1929
Modern and Contemporary Art,483271,1984,1984,1984
Drawings and Prints,396939,1926,1926,1926
Costume Institute,103296,1940,1940,1940
The American Wing,7928,1933,1933,1933
Photographs,635461,2013,2013,2013
Drawings and Prints,338892,1880,1880,1880
Arms and Armor,27679,1929,1929,1929
Asian Art,57887,1910,1910,1910
Drawings and Prints,745838,1959,1959,1959
Greek and Roman Art,756386,2011,2011,2011
Egyptian Art,559013,1911,1911,1911
Asian Art,36550,1914,1914,1914
Egyptian Art,559009,1911,1911,1911
Robert Lehman Collection,461301,1975,1975,1975
Drawings and Prints,655737,1950,1950,1950
Drawings and Prints,660693,1963,1963,1963
Egyptian Art,568046,1914,1914,1914
Drawings and Prints,891569,1963,1963,1963
Drawings and Prints,432344,1955,1955,1955
Modern and Contemporary Art,484679,1986,1986,1986
Drawings and Prints,356248,1954,1954,1954
Ancient Near Eastern Art,322350,1899,1899,1899
Islamic Art,448037,1927,1927,1927
Costume Institute,95175,1985,1985,1985
European Sculpture and Decorative Arts,202234,1958,1958,1958
European Sculpture and Decorative Arts,216930,1909,1909,1909
The American Wing,9157,1946,1946,1946
Drawings and Prints,357240,1963,1963,1963
Medieval Art,474645,1912,1912,1912
Medieval Art,695141,1928,1928,1928
Drawings and Prints,374797,1943,1943,1943
European Sculpture and Decorative Arts,225052,1936,1936,1936
The American Wing,721,1946,1946,1946
Drawings and Prints,391018,1953,1953,1953
Ancient Near Eastern Art,324830,1959,1959,1959
The American Wing,556,1939,1939,1939
Egyptian Art,545689,1920,1920,1920
Drawings and Prints,355793,1965,1965,1965
Drawings and Prints,647093,1963,1963,1963
Costume Institute,739650,2017,2017,2017
Costume Institute,86395,1951,1951,1951
European Sculpture and Decorative Arts,196634,1930,1930,1930
Modern and Contemporary Art,492590,1959,1959,1959
Greek and Roman Art,718570,2011,2011,2011
Costume Institute,81475,1977,1977,1977
Arms and Armor,30527,1936,1936,1936
Asian Art,38234,1989,1989,1989
Drawings and Prints,701308,1963,1963,1963
Ancient Near Eastern Art,326254,1977,1977,1977
The American Wing,10932,1977,1977,1977
Asian Art,70556,1974,1974,1974
Drawings and Prints,644275,1963,1963,1963
Drawings and Prints,341777,1954,1954,1954
Drawings and Prints,834784,2019,2019,2019
Costume Institute,109350,1980,1980,1980
Drawings and Prints,648689,1953,1953,1953
European Sculpture and Decorative Arts,217215,1909,1909,1909
Photographs,729512,1974,1974,1974
Drawings and Prints,396268,2011,2011,2011
European Sculpture and Decorative Arts,204038,1964,1964,1964
Islamic Art,449039,1936,1936,1936
Asian Art,75078,1955,1955,1955
Greek and Roman Art,691972,2011,2011,2011
Greek and Roman Art,718975,2011,2011,2011
Asian Art,74974,1982,1982,1982
Drawings and Prints,366925,1959,1959,1959
European Sculpture and Decorative Arts,200437,1948,1948,1948
Egyptian Art,549943,1916,1916,1916
European Sculpture and Decorative Arts,215150,1908,1908,1908
Medieval Art,465731,1917,1917,1917
Drawings and Prints,750872,1947,1947,1947
Islamic Art,742019,1948,1948,1948
Musical Instruments,503445,1992,1992,1992
Greek and Roman Art,255942,1989,1989,1989
Drawings and Prints,666306,1998,1998,1998
Islamic Art,445342,1908,1908,1908
Asian Art,52529,1929,1929,1929
European Paintings,436509,1982,1982,1982
Drawings and Prints,371556,1942,1942,1942
Drawings and Prints,432395,1973,1973,1973
Costume Institute,156285,2009,2009,2009
Drawings and Prints,641353,1948,1948,1948
Asian Art,37432,1986,1986,1986
Photographs,265192,1987,1987,1987
Asian Art,69350,1942,1942,1942
Egyptian Art,560060,1930,1930,1930
European Sculpture and Decorative Arts,189967,1907,1907,1907
Drawings and Prints,372400,1955,1955,1955
Greek and Roman Art,733674,2011,2011,2011
Drawings and Prints,656645,1987,1987,1987
The American Wing,823336,2020,2020,2020
Drawings and Prints,383926,2008,2008,2008
Drawings and Prints,380242,1923,1923,1923
