Source,Target
Robert Lehman Collection,312762
312762,1975
"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund",215295
215295,1969
"Gift of Alice C. Taft, Hope Smith, Marianna F. Taft, Helen Head, and Brockholst M. Smith",463405
463405,1945
"The Cesnola Collection, Purchased by subscriptionâ?6",141181
The Crosby Brown Collection of Musical Instruments,339074
339074,1889
Walker Evans Archive,171339
171339,1994
Gift of Estate of Samuel Isham,47340
47340,1915
Gift of Dr. and Mrs. Roger Gerry,116706
116706,1981
Harris Brisbane Dick Fund,483877
483877,1925
"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund",366985
366985,1955
"Purchase, Ehsan Yarshater Gift and Rogers Fund",201865
201865,1997
"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund",268168
268168,1951
"Purchase, Jacob H. Schiff Bequest",252872
252872,1922
"The Elisha Whittelsey Collection, The Elisha Whittesley Fund",251453
251453,1949
"Gift of Dietrich von Bothmer, Distinguished Research Curator, Greek and Roman Art",392233
392233,2011
Gift of El Conde de Lagunillas,153682
153682,1949
"Gift of Dietrich von Bothmer, Distinguished Research Curator, Greek and Roman Art",449640
449640,2011
Gift of Muriel Kallis Newman,87994
87994,2008
"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",398941
Rogers Fund,303868
303868,1934
"Anonymous Gift, in memory of Robert Livingston Clarkson",116387
116387,1976
Gift of Larry Aldrich,397258
397258,1985
Gift of Dr. Ernest Harms,317262
317262,1953
"Gift of Weston J. Naef, in memory of Kathleen W. Naef and Weston J. Naef Sr.",180533
180533,1982
"Gift of Jean Jacques Reubell, in memory of his mother, Julia C. Coster, and of his wife, Adeline E. Post, both of New York City",27369
27369,1926
Gift of Randolph Gunter,392005
392005,1958
"Dr. and Mrs. Roger G. Gerry Collection, Bequest of Dr. and Mrs. Roger G. Gerry",42490
42490,2000
"Brooklyn Museum Costume Collection at The Metropolitan Museum of Art, Gift of the Brooklyn Museum; Gift of Carol Roaman",96652
96652,2009
Gift of Ralph Weiler,462185
462185,1960
"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",481297
Joyce F. Menschel Photography Library Fund,387103
387103,2008
Rogers Fund,346725
346725,1931
"Gift of Clarence H. Mackay, Archer M. Huntington, Stephen H. P. Pell and Bashford Dean",405571
405571,1928
Gift of Charles E. Wiggin,452545
452545,1968
Gift of George Zacos,200466
200466,1969
Gift of Martin F. Price,88055
88055,2017
Gift of Helen Miller Gould,360634
360634,1910
Bequest of George White Thorne,97676
97676,1883
Rogers Fund,433026
433026,1948
"The Edward W. C. Arnold Collection of New York Prints, Maps and Pictures, Bequest of Edward W. C. Arnold",248192
248192,1954
"The Cesnola Collection, Purchased by subscriptionâ?6",140032
Gift of Henry G. Schiff,9237
9237,1980
John Stewart Kennedy Fund,52745
52745,1913
Gift of William Brewster,245808
245808,1923
"Gilman Collection, Gift of The Howard Gilman Foundation",413125
413125,2005
Rogers Fund,351111
351111,1909
"Purchase, Edward C. Moore Jr. Gift",331052
331052,1969
Isabel Shults Fund,73558
73558,1981
"Purchase, Irene Lewisohn Trust Gift",71782
71782,1983
Rogers Fund and Edward S. Harkness Gift,356915
356915,1920
"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",449163
Gift of Peter J. Cohen,451638
451638,2018
Purchase,196539
196539,1886
Bequest of Edwin De T. Bechtel,442075
442075,1957
Harris Brisbane Dick Fund,412691
412691,1917
Rogers Fund,347148
347148,1912
Gift of The United Piece Dye Works,131226
131226,1936
"Purchase, Reba and Dave Williams Gift",331884
331884,1999
Harris Brisbane Dick Fund,236917
236917,1925
"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund",232054
232054,1953
"Edward C. Moore Collection, Bequest of Edward C. Moore",20413
20413,1891
Walker Evans Archive,181513
181513,1994
Harris Brisbane Dick Fund,214341
214341,1917
Purchase by subscription,126397
126397,1909
"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",370624
Rogers Fund,484428
484428,1921
"Samuel Eilenberg Collection, Bequest of Samuel Eilenberg",45586
45586,1998
Gift of Joell K. Kunath,66661
66661,1995
Harris Brisbane Dick Fund,292204
292204,1933
Gift of William Brewster,246977
246977,1923
Gift of William Brewster,247126
247126,1923
"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",415561
"Glenn Tilley Morse Collection, Bequest of Glenn Tilley Morse",383484
383484,1950
Walker Evans Archive,171684
171684,1994
Harris Brisbane Dick Fund,368507
368507,1947
Fletcher Fund,150976
150976,1925
"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund",380752
380752,1955
"Gift of Hayashi Kaoru, in celebration of the Museumâs 150th Anniversary",473782
473782,2020
"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",422399
"The Howard Mansfield Collection, Gift of Howard Mansfield",24827
24827,1936
"Gift of Ella Brummer, in memory of her husband, Ernest Brummer",315593
315593,1982
"Gilman Collection, Purchase, The Horace W. Goldsmith Foundation Gift, through Joyce and Robert Menschel",178591
178591,2005
Gift of J. Pierpont Morgan,315256
315256,1917
Gift of Anne H. Bass,71601
71601,1989
Gift of Miss H. C. Wagner,55539
55539,1959
Bequest of George C. Stone,19950
19950,1935
Gift of Jean Charlot,417677
417677,1929
Bequest of Scofield Thayer,324929
324929,1982
Harris Brisbane Dick Fund,263827
263827,1926
"Gift of Miss Grace Duncan Hooper, in memory of her mother, Mrs. Robert H. MacNall",77100
77100,1940
Bequest of Alphonso T. Clearwater,7433
7433,1933
"Purchase, Robert Mapplethorpe Foundation and Alfred Stieglitz Society Gifts",373482
373482,2013
Gift of Cornelius Vanderbilt,207741
207741,1880
"Bashford Dean Memorial Collection, Bequest of Bashford Dean",22702
22702,1928
Frederick C. Hewitt Fund,49910
49910,1910
"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund",435709
435709,1959
"Gift of Dietrich von Bothmer, Distinguished Research Curator, Greek and Roman Art",441614
441614,2011
Rogers Fund,354177
354177,1911
Rogers Fund,30873
30873,1914
Rogers Fund,354173
354173,1911
Robert Lehman Collection,312582
312582,1975
"Glenn Tilley Morse Collection, Bequest of Glenn Tilley Morse",385475
385475,1950
"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",388783
Gift of Theodore M. Davis,360844
360844,1914
"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",481970
Gift of Mr. and Mrs. WIlliam B. Liebman,292950
292950,1955
Gift of Mrs. Clyfford Still,326302
326302,1986
"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund",224810
224810,1954
Bequest of Joseph H. Durkee,197059
197059,1898
Rogers Fund,302901
302901,1927
Gift of Sally B. Walker,73747
73747,1985
Bequest of Cora E. Wells,112668
112668,1958
Rogers Fund,125169
125169,1909
Gift of Mrs. Emily Winthrop Miles,8511
8511,1946
"The Elisha Whittelsey Collection, The Elisha Whittelesy Fund",225774
225774,1963
Rogers Fund,320185
320185,1912
