Source,Target
chair,Robert Lehman Collection
book,Drawings and Prints
print,Drawings and Prints
lamp,Greek and Roman Art
regal,Musical Instruments
glass negative,Photographs
print,Asian Art
microscope,European Sculpture and Decorative Arts
print,Drawings and Prints
print collection ornament & architecture,Drawings and Prints
jar,Ancient Near Eastern Art
print,Drawings and Prints
plate,Drawings and Prints
drawing,Drawings and Prints
ornament & architecture,Drawings and Prints
kylix fragment,Greek and Roman Art
neck-amphora,Greek and Roman Art
skyphos fragment,Greek and Roman Art
necklace,Costume Institute
print,Drawings and Prints
fragment,Islamic Art
dish with cover and liner,European Sculpture and Decorative Arts
print,Drawings and Prints
brooch,Medieval Art
stereographs,Photographs
dirk,Arms and Armor
drawing ornament & architecture,Drawings and Prints
plate,Asian Art
evening ensemble,Costume Institute
print,Drawings and Prints
print,Drawings and Prints
photographically illustrated book,Photographs
votive bed,Egyptian Art
fragment,Medieval Art
baseball card,Drawings and Prints
vessel,Ancient Near Eastern Art
necklace,Costume Institute
mold,Egyptian Art
cup,European Sculpture and Decorative Arts
fragment,Islamic Art
print,Drawings and Prints
bowl,Greek and Roman Art
wine glass,The American Wing
bell,Asian Art
drawing,Drawings and Prints
album,Photographs
amulet,Egyptian Art
vase,Modern and Contemporary Art
evening dress,Costume Institute
corset,Costume Institute
coffin fragment,Egyptian Art
print,Drawings and Prints
cuneiform tablet,Ancient Near Eastern Art
print,Drawings and Prints
print,Drawings and Prints
print,Drawings and Prints
vase,Egyptian Art
piece,European Sculpture and Decorative Arts
print,Modern and Contemporary Art
drawing,Drawings and Prints
ornament & architecture,Drawings and Prints
drawing,Drawings and Prints
ornament & architecture,Drawings and Prints
kris,Arms and Armor
postcard,Photographs
book,Drawings and Prints
fragment,European Sculpture and Decorative Arts
print,Drawings and Prints
print ornament & architecture,Drawings and Prints
ax,Asian Art
uniform,Costume Institute
print collection ornament & architecture,Drawings and Prints
drawing,Drawings and Prints
drawing,Drawings and Prints
print,Drawings and Prints
cut paper,Drawings and Prints
negative,Photographs
print ornament & architecture,Drawings and Prints
relief of a wine-shop,Greek and Roman Art
print,Drawings and Prints
box,Asian Art
print,Drawings and Prints
sword guard (tsuba),Arms and Armor
cross,Medieval Art
photograph,Photographs
