Id,start,end,type,departement
461481,1975,1975,Object,Robert Lehman Collection
346573,1969,1969,Object,Drawings and Prints
815012,1945,1945,Object,Drawings and Prints
241762,1874,1874,Object,Greek and Roman Art
504753,1889,1889,Object,Musical Instruments
275321,1994,1994,Object,Photographs
55014,1915,1915,Object,Asian Art
206892,1981,1981,Object,European Sculpture and Decorative Arts
896139,1925,1925,Object,Drawings and Prints
623112,1955,1955,Object,Drawings and Prints
327528,1997,1997,Object,Ancient Near Eastern Art
401435,1951,1951,Object,Drawings and Prints
385597,1922,1922,Object,Drawings and Prints
384147,1949,1949,Object,Drawings and Prints
668539,2011,2011,Object,Greek and Roman Art
254645,1949,1949,Object,Greek and Roman Art
772545,2011,2011,Object,Greek and Roman Art
141764,2008,2008,Object,Costume Institute
684544,1963,1963,Object,Drawings and Prints
449009,1934,1934,Object,Islamic Art
206552,1976,1976,Object,European Sculpture and Decorative Arts
681548,1985,1985,Object,Drawings and Prints
468450,1953,1953,Object,Medieval Art
288287,1982,1982,Object,Photographs
32584,1926,1926,Object,Arms and Armor
667972,1958,1958,Object,Drawings and Prints
49415,2002,2002,Object,Asian Art
175288,2009,2009,Object,Costume Institute
813020,1960,1960,Object,Drawings and Prints
890709,1963,1963,Object,Drawings and Prints
658343,2014,2014,Object,Photographs
550811,1931,1931,Object,Egyptian Art
695183,1928,1928,Object,Medieval Art
776063,1968,1968,Object,Drawings and Prints
325957,1969,1969,Object,Ancient Near Eastern Art
142151,2017,2017,Object,Costume Institute
567832,1910,1910,Object,Egyptian Art
186251,1883,1883,Object,European Sculpture and Decorative Arts
741152,1948,1948,Object,Islamic Art
380728,1954,1954,Object,Drawings and Prints
240609,1874,1874,Object,Greek and Roman Art
9957,1980,1980,Object,The American Wing
61052,1913,1913,Object,Asian Art
378302,1923,1923,Object,Drawings and Prints
709110,2005,2005,Object,Photographs
555460,1909,1909,Object,Egyptian Art
489819,1969,1969,Object,Modern and Contemporary Art
94862,1981,1981,Object,Costume Institute
90464,1984,1984,Object,Costume Institute
561966,1920,1920,Object,Egyptian Art
771860,1963,1963,Object,Drawings and Prints
775057,2018,2018,Object,Photographs
321781,1886,1886,Object,Ancient Near Eastern Art
757195,1957,1957,Object,Drawings and Prints
708484,1917,1917,Object,Drawings and Prints
551252,1912,1912,Object,Egyptian Art
224095,1936,1936,Object,European Sculpture and Decorative Arts
491281,1999,1999,Object,Modern and Contemporary Art
369066,1925,1925,Object,Drawings and Prints
363686,1953,1953,Object,Drawings and Prints
25003,1891,1891,Object,Arms and Armor
289811,1994,1994,Object,Photographs
345609,1917,1917,Object,Drawings and Prints
218401,1909,1909,Object,European Sculpture and Decorative Arts
629971,1963,1963,Object,Drawings and Prints
898690,1921,1921,Object,Drawings and Prints
53030,2001,2001,Object,Asian Art
80212,1995,1995,Object,Costume Institute
431179,1933,1933,Object,Drawings and Prints
379471,1923,1923,Object,Drawings and Prints
379620,1923,1923,Object,Drawings and Prints
